id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000033233	Trim45	70	55	76	46	82	80
ENSMUSG00000033237	Arid2	1791	1334	1632	1114	2493	1460
ENSMUSG00000033249	Hsf4	35	37	145	34	33	28
ENSMUSG00000033253	Szt2	455	367	359	298	609	424
ENSMUSG00000033256	Shf	33	24	63	43	54	36
ENSMUSG00000033257	Ttll4	672	431	1189	482	883	612
ENSMUSG00000033272	Slc35a4	812	739	738	899	1572	1157
ENSMUSG00000033276	Stk36	15	18	51	14	28	15
ENSMUSG00000033278	Ptprm	211	215	1684	304	350	214
ENSMUSG00000033282	Rpgrip1l	220	156	281	139	382	182
ENSMUSG00000033285	Wdr3	1831	1322	1517	1469	2916	1974
ENSMUSG00000033287	Kctd17	101	148	227	118	168	192
ENSMUSG00000033294	Noc4l	624	527	518	531	782	656
ENSMUSG00000033295	Ptprf	2	5	27	4	1	6
ENSMUSG00000033306	Lpp	2788	2276	1566	1518	3088	2175
ENSMUSG00000033307	Mif	2023	1879	2630	1633	2233	1479
ENSMUSG00000033308	Dpyd	2	4	14	2	4	0
ENSMUSG00000033313	Fbxl8	174	104	157	148	268	197
ENSMUSG00000033316	Galnt9	103	44	41	133	207	284
ENSMUSG00000033318	Gstt2	80	98	70	96	118	82
ENSMUSG00000033319	Fem1c	4712	3112	1609	2222	4677	2761
ENSMUSG00000033323	Ctdp1	1794	1187	1009	1400	2602	1647
ENSMUSG00000033326	Kdm4a	2040	1305	1570	1535	2416	1943
ENSMUSG00000033327	Tnxb	3	7	21	3	5	7
ENSMUSG00000033335	Dnm2	6893	4815	3647	5619	9891	7035
ENSMUSG00000033352	Map2k4	1537	1314	1029	1003	2213	1338
ENSMUSG00000033355	Rtp4	2151	1957	680	692	1613	812
ENSMUSG00000033356	Pus7l	257	179	192	250	399	265
